CODIGO;PRODUCTO;STOCK;PRECIO ULTIMA COMPRA;VALOR MINORISTA;VALOR MAYORISTA;PROVEEDOR;VENDIDOS;INGRESOS
1699582517076;Buzo Traful (L, Gris);1; $62.254,50; $ 136.959,90 ; $ 124.509,00 ;SALPA SRL;;
1699553937209;Calza 3/4 Jump (S, Negro);2; $19.299,50; $ 42.458,90 ; $ 38.599,00 ;SALPA SRL;1;1
1699530313897;Calza 3/4 Jump (M, Negro);2; $19.299,50; $ 42.458,90 ; $ 38.599,00 ;SALPA SRL;;1
1699502783987;Calza 3/4 Jump (L, Negro);1; $19.299,50; $ 42.458,90 ; $ 38.599,00 ;SALPA SRL;;
1699562112628;Calza 3/4 Jump (XL, Negro);0; $19.299,50; $ 42.458,90 ; $ 38.599,00 ;SALPA SRL;1;
1699540370705;Calza 3/4 Jump GreenMove (M);1; $23.595,00; $ 51.909,00 ; $ 47.190,00 ;SALPA SRL;;
1699533324715;Calza 3/4 Jump GreenMove (L);1; $23.595,00; $ 51.909,00 ; $ 47.190,00 ;SALPA SRL;;
1699544299897;Calza Active (M, Azul Francia);1; $35.937,00; $ 79.061,40 ; $ 71.874,00 ;SALPA SRL;;
1699571548524;Calza Active (L, Azul Francia);1; $35.937,00; $ 79.061,40 ; $ 71.874,00 ;SALPA SRL;;
1675968665463;Calza Arabia (S, Gris Melange);1; $30.189,50; $ 66.416,90 ; $ 60.379,00 ;SALPA SRL;;
1699577745453;Calza Arabia (M, Negro);1; $30.189,50; $ 66.416,90 ; $ 60.379,00 ;SALPA SRL;;1
1699599472351;Calza Arabia (L, Negro);2; $30.189,50; $ 66.416,90 ; $ 60.379,00 ;SALPA SRL;1;2
1699592136526;Calza Arabia (XL, Negro);1; $30.189,50; $ 66.416,90 ; $ 60.379,00 ;SALPA SRL;;
1689272192935;Calza Biker Maritimo (L);1; $16.698,00; $ 36.735,60 ; $ 33.396,00 ;SALPA SRL;;
1689272192942;Calza Biker Maritimo (XL);1; $16.698,00; $ 36.735,60 ; $ 33.396,00 ;SALPA SRL;;
1699500209625;Calza Corta Jump Elemental (M, Negro);0; $14.762,00; $ 32.476,40 ; $ 29.524,00 ;SALPA SRL;1;
1699500209663;Calza Corta Jump Elemental (XL, Negro);2; $14.762,00; $ 32.476,40 ; $ 29.524,00 ;SALPA SRL;;
1699551508371;Calza Corta Jump GreenMove (L);1; $19.299,50; $ 42.458,90 ; $ 38.599,00 ;SALPA SRL;2;
1699544390549;Calza Corta Jump GreenMove (M);0; $19.299,50; $ 42.458,90 ; $ 38.599,00 ;SALPA SRL;2;
1699572134900;Calza Corta Jump GreenMove (XL);1; $19.299,50; $ 42.458,90 ; $ 38.599,00 ;SALPA SRL;;
1699500204637;Calza Inca (L, Gris);1; $27.588,00; $ 60.693,60 ; $ 55.176,00 ;SALPA SRL;;
1699500204613;Calza Inca (M, Gris);1; $27.588,00; $ 60.693,60 ; $ 55.176,00 ;SALPA SRL;;
1699500204651;Calza Inca (XL, Gris);1; $27.588,00; $ 60.693,60 ; $ 55.176,00 ;SALPA SRL;;
1699506491413;Calza Jump (S, Azul Marino);3; $22.506,00; $ 49.513,20 ; $ 45.012,00 ;SALPA SRL;;2
1699546894601;Calza Jump (M, Azul Marino);1; $22.506,00; $ 49.513,20 ; $ 45.012,00 ;SALPA SRL;;
1699522885326;Calza Jump (L, Azul Marino);1; $22.506,00; $ 49.513,20 ; $ 45.012,00 ;SALPA SRL;;
1699525128208;Calza Jump (L, Bordo);1; $22.506,00; $ 49.513,20 ; $ 45.012,00 ;SALPA SRL;;1
1699595974583;Calza Jump (XL, Negro);1; $22.506,00; $ 49.513,20 ; $ 45.012,00 ;SALPA SRL;;
1699500209700;Calza Jump Elemental (M, Negro);1; $23.111,00; $ 50.844,20 ; $ 46.222,00 ;SALPA SRL;1;2
1699565413241;Calza Jump Extra Warm (S, Bordo);1; $26.983,00; $ 59.362,60 ; $ 53.966,00 ;SALPA SRL;;1
1699545253881;Calza Jump Extra Warm (M, Bordo);1; $26.983,00; $ 59.362,60 ; $ 53.966,00 ;SALPA SRL;;2
1699531619264;Calza Jump Extra Warm (M, Azul Marino);1; $26.983,00; $ 59.362,60 ; $ 53.966,00 ;SALPA SRL;;
1699531292801;Calza Jump Extra Warm (L, Azul Marino);1; $26.983,00; $ 59.362,60 ; $ 53.966,00 ;SALPA SRL;;
1699500213554;Calza Mudra (S, Chocolate);0; $23.776,50; $ 52.308,30 ; $ 47.553,00 ;SALPA SRL;1;1
1699500213585;Calza Mudra (M, Verde);0; $23.776,50; $ 52.308,30 ; $ 47.553,00 ;SALPA SRL;1;
1699500213578;Calza Mudra (M, Chocolate);1; $23.776,50; $ 52.308,30 ; $ 47.553,00 ;SALPA SRL;;1
1699500213608;Calza Mudra (L, Verde);1; $23.776,50; $ 52.308,30 ; $ 47.553,00 ;SALPA SRL;;
1699561955080;Calza Olivia (M, Negro);1; $36.602,50; $ 80.525,50 ; $ 73.205,00 ;SALPA SRL;;
1699571381770;Calza Olivia (L, Negro);0; $36.602,50; $ 80.525,50 ; $ 73.205,00 ;SALPA SRL;1;
1699550741526;Calza Olivia (XL, Negro);1; $36.602,50; $ 80.525,50 ; $ 73.205,00 ;SALPA SRL;;
1699500199629;Calza Soul (M, Gris);2; $31.460,00; $ 69.212,00 ; $ 62.920,00 ;SALPA SRL;1;3
1699585108530;Campera Arabia (M, Negro);1; $46.222,00; $ 101.688,40 ; $ 92.444,00 ;SALPA SRL;;
1699585859418;Campera Arabia (L, Negro);1; $46.222,00; $ 101.688,40 ; $ 92.444,00 ;SALPA SRL;;
1699552792267;Campera Arabia (XL, Negro);1; $46.222,00; $ 101.688,40 ; $ 92.444,00 ;SALPA SRL;;
1689613202187;Campera Arabia (XL, Gris Melange);1; $46.222,00; $ 101.688,40 ; $ 92.444,00 ;SALPA SRL;;
1699597005780;Campera Arabia (2XL, Negro);1; $46.222,00; $ 101.688,40 ; $ 92.444,00 ;SALPA SRL;;
1699500208284;Campera Azucena (S, Negro);1; $43.015,50; $ 94.634,10 ; $ 86.031,00 ;SALPA SRL;;
1699500208307;Campera Azucena (M, Negro);0; $43.015,50; $ 94.634,10 ; $ 86.031,00 ;SALPA SRL;1;
1699500202435;Campera Azucena (XL, Beige);1; $43.015,50; $ 94.634,10 ; $ 86.031,00 ;SALPA SRL;;1
1699517208314;Campera Curl (L, Negro);0; $44.286,00; $ 97.429,20 ; $ 88.572,00 ;SALPA SRL;1;
1699559321378;Campera Curl (M, Azul);1; $44.286,00; $ 97.429,20 ; $ 88.572,00 ;SALPA SRL;;
1668622533987;Campera Reclu (L);0; $50.033,50; $ 110.073,70 ; $ 100.067,00 ;SALPA SRL;2;
1668622533970;Campera Reclu (M);2; $50.033,50; $ 110.073,70 ; $ 100.067,00 ;SALPA SRL;;1
1699576094798;Campera Tronador (S, Negro);1; $80.288,00; $ 176.633,60 ; $ 160.576,00 ;SALPA SRL;;
1699525739329;Campera Tronador (M, Negro);0; $80.288,00; $ 176.633,60 ; $ 160.576,00 ;SALPA SRL;1;
1699548442480;Campera Tronador (XL, Negro);1; $80.288,00; $ 176.633,60 ; $ 160.576,00 ;SALPA SRL;;
1699532405439;Chaleco Kosten (Homb. L / Muj. XL, Negro);1; $36.602,50; $ 80.525,50 ; $ 69.544,75 ;SALPA SRL;;
1699578336148;Chaleco Kosten (Homb. M / Muj. L, Negro);1; $36.602,50; $ 80.525,50 ; $ 73.205,00 ;SALPA SRL;;
1699545890345;Chaleco Kosten (Homb. S / Muj. M, Gris);1; $36.602,50; $ 80.525,50 ; $ 73.205,00 ;SALPA SRL;;
1699543042876;Chaleco Kosten (Homb. XL / Muj. 2XL, Negro);1; $36.602,50; $ 80.525,50 ; $ 73.205,00 ;SALPA SRL;;
1689790188052;Cinturon de Hidratacion (S, Negro);1; $17.968,50; $ 39.530,70 ; $ 35.937,00 ;SALPA SRL;2;1
1689790188069;Cinturon de Hidratacion (M, Negro);0; $17.968,50; $ 39.530,70 ; $ 35.937,00 ;SALPA SRL;1;
1689790188076;Cinturon de Hidratacion (L, Negro);1; $17.968,50; $ 39.530,70 ; $ 35.937,00 ;SALPA SRL;;
1699500207775;Cinturon de Hidratacion Trinity (2, Rosa);2; $17.968,50; $ 39.530,70 ; $ 35.937,00 ;SALPA SRL;;
;Cuello All Black Microfibra ;1; $3.645,00; $ 8.019,00 ; $ 7.290,00 ;SALPA SRL;1;
7791118820002;Cuello All Black Extra Warm Negro;4; $4.250,00; $ 9.350,00 ; $ 8.500,00 ;SALPA SRL;1;5
1699504300090;Cuello Carnaval Micropolar;0; $7.744,00; $ 17.036,80 ; $ 15.488,00 ;SALPA SRL;3;2
1699548594660;Cuello Fusion Micropolar;0; $7.744,00; $ 17.036,80 ; $ 15.488,00 ;SALPA SRL;1;1
1699529540976;Cuello Liquid Micropolar;0; $7.744,00; $ 17.036,80 ; $ 15.488,00 ;SALPA SRL;1;
7791117820003;Cuello Pride;2; $6.413,00; $ 14.108,60 ; $ 12.826,00 ;SALPA SRL;;
1699549017953;Cuello Soft Microfibra (Lima);2; $6.413,00; $ 14.108,60 ; $ 12.826,00 ;SALPA SRL;1;2
1699521456985;Cuello Soft Microfibra (Naranja);1; $6.413,00; $ 14.108,60 ; $ 12.826,00 ;SALPA SRL;;
1699566460107;Cuello Roy Microfibra;0; $5.142,50; $ 11.313,50 ; $ 10.285,00 ;SALPA SRL;6;4
1661972863056;Gorra Denim Lisa (Negro);1; $19.904,50; $ 43.789,90 ; $ 39.809,00 ;SALPA SRL;;
7791130290005;Gorra Deportiva Fit;2; $17.363,50; $ 38.199,70 ; $ 34.727,00 ;SALPA SRL;1;
1699576234323;Gorra Wegs Hard Combinada (Verde Militar);0; $16.698,00; $ 36.735,60 ; $ 33.396,00 ;SALPA SRL;1;
1699582802417;Gorra Wegs Hard Combinada (Violeta);0; $16.698,00; $ 36.735,60 ; $ 33.396,00 ;SALPA SRL;1;
7791337143722;Guantes All Black (2);2; $8.349,00; $ 18.367,80 ; $ 16.698,00 ;SALPA SRL;5;5
1699500205962;Guantes All Black Reflex (2);3; $9.030,00; $ 19.866,00 ; $ 18.060,00 ;SALPA SRL;2;5
1699500205979;Guantes All Black Reflex (3);1; $9.030,00; $ 19.866,00 ; $ 18.060,00 ;SALPA SRL;1;1
1699509784451;Guantes Carnaval (1);1; $9.675,00; $ 21.285,00 ; $ 19.350,00 ;SALPA SRL;;
1699541408520;Guantes Carnaval (2);0; $9.675,00; $ 21.285,00 ; $ 19.350,00 ;SALPA SRL;1;
1699575117603;Guantes Cracker (1);1; $9.675,00; $ 21.285,00 ; $ 19.350,00 ;SALPA SRL;;
0692727963289;Guantes Cracker (2);1; $9.675,00; $ 21.285,00 ; $ 19.350,00 ;SALPA SRL;;
7791337543812;Guantes Cute (2);0; $9.619,50; $ 21.162,90 ; $ 19.239,00 ;SALPA SRL;1;
1699509844391;Guantes Fusion (3);0; $9.675,00; $ 21.285,00 ; $ 19.350,00 ;SALPA SRL;1;
1699552483127;Guantes Glaciar (2);1; $9.675,00; $ 21.285,00 ; $ 19.350,00 ;SALPA SRL;;
1679321309964;Guantes Mapping (3);0; $9.675,00; $ 21.285,00 ; $ 19.350,00 ;SALPA SRL;;
1699545756375;Guantes Record (1, Negro);1; $18.634,00; $ 40.994,80 ; $ 37.268,00 ;SALPA SRL;;
1699531399272;Guantes Roy (1, Negro);1; $9.619,50; $ 21.162,90 ; $ 19.239,00 ;SALPA SRL;;1
1699586470988;Guantes Roy (2, Negro);1; $9.619,50; $ 21.162,90 ; $ 19.239,00 ;SALPA SRL;2;3
7791320541375;Guantes SALPA RACK (2, Negro);1; $9.619,50; $ 21.162,90 ; $ 19.239,00 ;SALPA SRL;2;2
1699515876331;Guantes Trinity (2, Rosa);1; $9.619,50; $ 21.162,90 ; $ 19.239,00 ;SALPA SRL;;
1699541807699;Jogger Alihue (Homb. M / Muj. L, Gris Melange);0; $36.602,50; $ 80.525,50 ; $ 73.205,00 ;SALPA SRL;1;
1699582657826;Jogger Alihue (Homb. S / Muj. M, Gris Melange);1; $36.602,50; $ 80.525,50 ; $ 73.205,00 ;SALPA SRL;;
1699500199834;Jogger Comfy (Homb. L / Muj. XL, Verde);0; $36.602,50; $ 80.525,50 ; $ 73.205,00 ;SALPA SRL;1;1
1699529030002;Manguitas Psique (1);0; $9.619,50; $ 21.162,90 ; $ 19.239,00 ;SALPA SRL;1;
1699509131767;Manguitas Psique (2);1; $9.619,50; $ 21.162,90 ; $ 19.239,00 ;SALPA SRL;;
1699524031776;Manguitas Record (1);1; $11.555,50; $ 25.422,10 ; $ 23.111,00 ;SALPA SRL;1;1
1699536198467;Manguitas Record (2);1; $11.555,50; $ 25.422,10 ; $ 23.111,00 ;SALPA SRL;;
1699583745805;Manguitas Roy (2);2; $9.619,50; $ 21.162,90 ; $ 19.239,00 ;SALPA SRL;;
1663011226372;Mochila Ultralight (Amarillo y Gris);1; $10.950,50; $ 24.091,10 ; $ 21.901,00 ;SALPA SRL;;
1664812926959;Mochila Ultralight (Gris Topo y Negro);1; $10.950,50; $ 24.091,10 ; $ 21.901,00 ;SALPA SRL;;
